Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Stn_No
CAP-TOURMENTE,47.079,-70.781,QC,-0.6,0,NA,8.7,0,-18.6,0,,,NA,89,0,NA,,16,,,NA,575.8,0,7041JG6
FORET MONTMORENCY RCS,47.323,-71.148,QC,-4.6,0,NA,7.7,0,-21,0,,,NA,225.3,10,NA,43,15,,,NA,700.2,0,7042395
HAVRE ST. PIERRE,50.282,-63.611,QC,-6.5,0,NA,3.9,0,-25.7,0,,,NA,38,0,NA,,2,,,NA,760.3,0,7043019
ILE AUX PERROQUETS,50.221,-64.207,QC,-4.2,0,NA,4.4,0,-17.1,0,,,NA,,,NA,,,,,NA,687,0,7043B79
ILE ROUGE,48.069,-69.556,QC,-0.9,0,NA,8.2,0,-13.8,0,,,NA,12.2,22,NA,,3,,,NA,584.7,0,7043BP9
LES BUISSONS,49.117,-68.383,QC,-8.5,29,NA,4,22,-18,28,19.6,4,NA,32.4,6,NA,,5,,,NA,53,0,7044288
LONGUE-POINTE-DE-MINGAN,50.271,-64.226,QC,,,NA,,,,,,,NA,26,1,NA,16,2,,,NA,,,7044328
MONT STE-ANNE,47.073,-70.907,QC,,,NA,,,,,88.4,0,NA,192.8,0,NA,54,19,,,NA,,,7045326
NATASHQUAN,50.19,-61.789,QC,-6.5,0,NA,4.3,0,-21.8,0,,,NA,0,0,NA,,0,,,NA,758.3,0,7045398
NATASHQUAN A,50.19,-61.811,QC,-6.4,0,NA,4.4,0,-22,0,,,NA,40,0,NA,1,5,,,NA,757.6,0,7045401
POINTE DE L'ISLET,48.136,-69.716,QC,-0.7,5,NA,11.1,5,-11.9,2,,,NA,,,NA,,,,,NA,485.8,0,7046059
POINTE CLAVEAU,48.26,-70.114,QC,,,NA,,,-6.2,28,,,NA,,,NA,,,,,NA,,,704607C
STE ROSE DU NORD,48.4,-70.533,QC,-2.3,3,8.6,10.5,2,-19.5,1,65,0,75,77.8,1,NA,26,18,,,NA,568.3,0,7047722
SEPT-ILES UA,50.217,-66.25,QC,,,NA,,,,,30,0,NA,36.7,0,NA,10,7,,,NA,,,7047912
SEPT-ILES,50.217,-66.25,QC,-6,0,NA,7,0,-22.4,0,,,NA,30.8,4,NA,12,6,,,NA,744.7,0,7047914
LAC EON,51.867,-63.284,QC,-11.9,9,NA,2.1,6,-31,6,,,NA,26.8,11,NA,,8,,,NA,658.7,0,704C64L
POINTE-DES-MONTS,49.317,-67.381,QC,-3.3,0,NA,4.4,0,-17.4,0,,,NA,54.2,0,NA,,19,,,NA,660.4,0,704F0PN
RIVIERE AU TONNERRE,50.283,-64.783,QC,-5.7,5,3.1,5,1,-25.5,4,22.3,0,39,51.5,0,58,11,7,,,NA,616,0,704FEG0
POINTE NOIRE CS,50.163,-66.434,QC,-3.6,0,NA,6.9,0,-16,0,,,NA,1.2,28,NA,,1,,,NA,670.3,0,704Q003
BAIE-COMEAU,49.259,-68.146,QC,-3.8,0,NA,7,0,-17.2,0,,,NA,70.3,0,NA,,15,,,NA,674.8,0,704S001
AMQUI,48.472,-67.435,QC,-3.3,0,NA,7.1,0,-20.7,0,,,NA,92,0,NA,,19,,,NA,660.7,0,7050145
CAP-D'ESPOIR,48.419,-64.317,QC,-2,0,NA,9.2,0,-16,0,,,NA,97.8,0,NA,,17,,,NA,619.9,0,7051050
CAP DES ROSIERS,48.85,-64.2,QC,-2.3,10,3.1,8,7,-14,4,51,1,NA,58,1,NA,16,11,,,NA,425.5,0,7051055
CAP-MADELEINE,49.251,-65.325,QC,-1.8,0,NA,10.6,0,-13.9,0,,,NA,59.7,0,NA,0,11,,,NA,615.1,0,7051163
CAUSAPSCAL,48.367,-67.233,QC,-5.3,11,4.1,5,10,-22,9,79.4,3,NA,97.8,5,NA,40,15,,,NA,466.5,0,7051200
GASPE A,48.775,-64.48,QC,-3.2,0,NA,9.9,0,-16.7,0,38.8,1,NA,64.9,0,NA,14,13,,,NA,657.7,0,7052601
HEATH POINT,49.085,-61.701,QC,-2.8,7,NA,4.3,6,-14.1,3,,,NA,29.8,7,NA,,5,,,NA,498.8,0,7053038
ILES DE LA MADELEINE A,47.425,-61.778,QC,0,0,NA,8.2,0,-8.4,0,,,NA,,,NA,8,,,,NA,558.6,0,7053250
LAC HUMQUI,48.283,-67.567,QC,-4.4,7,5.4,7.2,3,-24,4,116.2,0,141,146,0,132,50,20,,,NA,536.8,0,7053649
ILES DE LA MADELEINE,47.425,-61.775,QC,0.3,0,NA,8.7,0,-8.8,0,,,NA,82.4,0,NA,,16,,,NA,547.8,0,7053KGR
LA POCATIERE,47.356,-70.032,QC,-1.3,0,NA,9.3,0,-17.7,0,,,NA,83.8,0,NA,15,15,,,NA,597.4,0,7054096
MONT JOLI A,48.609,-68.208,QC,-2.3,0,NA,9.5,0,-14.9,0,57.3,0,NA,68.6,1,NA,20,13,,,NA,628.7,0,7055121
MONT-JOLI,48.604,-68.195,QC,-2.3,0,NA,10.1,0,-14.5,0,,,NA,67.7,0,NA,6,13,,,NA,629.5,0,7055122
NEW CARLISLE 1,48.012,-65.332,QC,-2,0,NA,7.6,0,-14.8,0,,,NA,138,0,NA,,14,,,NA,619.2,0,7055422
POINTE-AU-PERE (INRS),48.514,-68.468,QC,-1.7,0,NA,8.7,0,-14.3,0,,,NA,82.7,0,NA,,13,,,NA,611.4,0,7056068
PORT-MENIER,49.839,-64.293,QC,-4.4,0,NA,4.6,0,-21.3,0,,,NA,40.4,0,NA,10,9,,,NA,693.6,0,7056202
RIMOUSKI,48.45,-68.517,QC,-1.6,2,5.1,10.5,2,-14.5,0,59,2,NA,65.8,4,NA,20,12,,,NA,568.2,0,7056480
RIVIERE-DU-LOUP,47.806,-69.549,QC,-2.2,0,NA,8.2,0,-17.3,0,,,NA,104,0,NA,23,12,,,NA,627.7,0,7056616
RIVIERE-DU-LOUP / ST-ANTONIN,47.8,-69.45,QC,,,NA,,,,,88.8,0,NA,116.4,0,NA,38,17,,,NA,,,7056870
ST CAMILLE,46.483,-70.217,QC,-2.5,1,6.6,10.5,1,-18.5,0,74.2,0,93,130.8,1,NA,23,18,,,NA,614.3,0,7056930
ST JEAN DE CHERBOURG,48.883,-67.117,QC,-6.4,12,3,5.5,6,-22,9,62,1,NA,62,2,NA,15,13,,,NA,464.2,0,7057395
STE LUCIE,46.733,-70.017,QC,-1.9,7,7.5,11,4,-21,5,79.8,2,NA,103.2,4,NA,24,13,,,NA,477.3,0,7057515
SAINT MICHEL,46.867,-70.883,QC,-1.2,0,6.4,9.7,0,-16,0,28.2,4,NA,50.6,9,NA,14,8,,,NA,595.6,0,7057567
ILE BICQUETTE,48.416,-68.893,QC,-1.4,0,NA,6.9,0,-14.2,0,,,NA,,,NA,,,,,NA,601,0,705LKPQ
CAP-CHAT,49.109,-66.654,QC,-2,0,NA,8.6,0,-15.9,0,,,NA,56,0,NA,,17,,,NA,619.4,0,705S002
BAGOTVILLE A,48.333,-71,QC,-3.1,0,7.3,14.2,0,-18.8,0,59,0,80,70.6,0,101,39,13,,,NA,653.3,0,7060400
BONNARD 1,50.729,-71.013,QC,-8.5,1,NA,5.9,1,-25,0,,,NA,8.8,4,NA,,3,,,NA,794.1,0,7060826
CHAMOUCHOUANE,49.279,-73.356,QC,-5.4,4,NA,8,4,-22.9,3,,,NA,,,NA,,,,,NA,631.6,0,7061288
CHUTE-DES-PASSES,49.84,-71.168,QC,-4,26,NA,3.5,22,-22.8,19,,,NA,,,NA,,,,,NA,109.8,0,7061541
JONQUIERE,48.425,-71.143,QC,-2.7,0,NA,13.3,0,-17.9,0,,,NA,94.1,0,NA,,17,,,NA,642.8,0,7063370
LAC STE CROIX,48.417,-71.75,QC,0.3,29,10.9,6,27,-9,18,64.5,0,101,52.5,4,NA,25,10,,,NA,35.5,0,7063690
LATERRIERE,48.307,-71.129,QC,-2.9,0,NA,14.5,0,-18.5,0,,,NA,,,NA,,,,,NA,649.1,0,7064181
MISTOOK,48.598,-71.716,QC,-3.3,4,NA,11.8,2,-18.8,2,,,NA,,,NA,,,,,NA,575.7,0,7065012
NORMANDIN,48.842,-72.547,QC,-4.3,1,NA,8.8,1,-21,0,,,NA,81.7,1,NA,22,16,,,NA,669.7,0,7065639
ONATCHIWAY,48.894,-71.032,QC,-4.7,1,NA,10.9,1,-23.3,0,,,NA,97.3,2,NA,,15,,,NA,679.7,0,7065738
PERIBONCA,48.767,-72.033,QC,-3.5,2,NA,9.5,2,-22,1,36.6,4,NA,43.8,7,NA,19,11,,,NA,623.2,0,7065960
ROBERVAL A,48.52,-72.266,QC,-3.4,0,NA,10.8,0,-19.8,0,82.6,0,NA,102.4,0,NA,20,13,,,NA,663.2,0,7066686
ST AMBROISE,48.567,-71.333,QC,-3.3,0,8.4,12.5,0,-22,0,51.4,7,NA,61.6,8,NA,15,13,,,NA,661.2,0,7066820
ST PRIME,48.617,-72.417,QC,-2.1,3,9.2,9,1,-20,2,69,0,130,64.2,1,NA,31,17,,,NA,563.9,0,7067658
LAC BENOIT,51.533,-71.111,QC,-10.9,5,NA,3.2,4,-33.6,1,,,NA,,,NA,,,,,NA,750.7,0,706I001
MANOUANE EST,50.656,-70.532,QC,-9,0,NA,4.6,0,-30.1,0,,,NA,31.6,0,NA,,7,,,NA,837.2,0,706I155
LA BAIE,48.298,-70.92,QC,-3.4,0,NA,12.6,0,-20.4,0,,,NA,19.8,30,NA,,1,,,NA,664.2,0,706Q001
PARENT,47.922,-74.624,QC,-3.5,0,NA,11,0,-21,0,,,NA,105.2,0,NA,18,18,,,NA,665,0,7075800
SAINT-MICHEL-DES-SAINTS,46.816,-74.094,QC,-2,6,NA,13.5,5,-16,2,,,NA,74.8,6,NA,16,13,,,NA,499.5,0,7077571
LA TUQUE,47.411,-72.788,QC,-2.2,0,NA,10.8,0,-19,0,,,NA,109,0,NA,20,15,,,NA,625.1,0,707DBD4
BARRAGE TEMISCAMINGUE,46.71,-79.101,QC,-0.1,1,NA,14.1,1,-17.1,0,,,NA,112.2,1,NA,26,17,,,NA,543.3,0,7080468
MONT BRUN,48.417,-78.733,QC,,,,11.5,9,,,58.6,0,88,119,0,152,18,16,,,NA,,,7085106
ROUYN,48.246,-79.034,QC,-3.5,1,NA,11.7,1,-22.6,0,,,NA,93.2,1,NA,,20,,,NA,645.6,0,7086716
CHAPAIS,49.823,-74.975,QC,-5.9,0,NA,9.8,0,-23.9,0,,,NA,6.6,30,NA,,1,,,NA,739.5,0,7091299
